OBJECTID,SEX_CODE,FirstDoseDaily,FirstDoseCumulative,SecondDoseDaily,SecondDoseCumulative,Vaccination_Date
193,Unknown Gender,2,8232,40,8171,1/12/2021 15:00:00
194,Male,6598,62545,2169,8475,1/12/2021 15:00:00
195,Female,10019,116668,4157,15160,1/12/2021 15:00:00
196,Unknown Gender,7,8239,2,8173,1/13/2021 15:00:00
197,Female,11134,127802,2840,18000,1/13/2021 15:00:00
198,Male,6659,69204,1355,9830,1/13/2021 15:00:00
199,Unknown Gender,4,8243,3,8176,1/14/2021 15:00:00
200,Female,11059,138861,1530,19530,1/14/2021 15:00:00
201,Male,6167,75371,869,10699,1/14/2021 15:00:00
202,Unknown Gender,28,8271,4,8180,1/15/2021 15:00:00
203,Female,12746,151607,1760,21290,1/15/2021 15:00:00
204,Male,6048,81419,844,11543,1/15/2021 15:00:00
205,Unknown Gender,6,8277,3,8183,1/16/2021 15:00:00
206,Female,3720,155327,985,22275,1/16/2021 15:00:00
207,Male,1857,83276,567,12110,1/16/2021 15:00:00
208,Unknown Gender,3,8280,1,8184,1/17/2021 15:00:00
209,Female,1408,156735,1128,23403,1/17/2021 15:00:00
210,Male,605,83881,487,12597,1/17/2021 15:00:00
211,Unknown Gender,2,8282,0,8184,1/18/2021 15:00:00
212,Male,2553,86434,1108,13705,1/18/2021 15:00:00
213,Female,4543,161278,2390,25793,1/18/2021 15:00:00
214,Female,9924,171202,3506,29299,1/19/2021 15:00:00
215,Male,6305,92739,1570,15275,1/19/2021 15:00:00
216,Unknown Gender,4,8286,2,8186,1/19/2021 15:00:00
217,Male,7959,100698,1656,16931,1/20/2021 15:00:00
218,Unknown Gender,41,8327,12,8198,1/20/2021 15:00:00
219,Female,12452,183654,3730,33029,1/20/2021 15:00:00
220,Male,8641,109339,1237,18168,1/21/2021 15:00:00
221,Unknown Gender,107,8434,14,8212,1/21/2021 15:00:00
222,Female,14045,197699,2562,35591,1/21/2021 15:00:00
223,Unknown Gender,251,8685,10,8222,1/22/2021 15:00:00
224,Female,17632,215331,2788,38379,1/22/2021 15:00:00
225,Male,10306,119645,1392,19560,1/22/2021 15:00:00
226,Unknown Gender,129,8814,11,8233,1/23/2021 15:00:00
227,Female,6035,221366,1510,39889,1/23/2021 15:00:00
228,Male,3263,122908,694,20254,1/23/2021 15:00:00
229,Unknown Gender,13,8827,5,8238,1/24/2021 15:00:00
230,Male,1198,124106,688,20942,1/24/2021 15:00:00
231,Female,2024,223390,1622,41511,1/24/2021 15:00:00
232,Female,10045,233435,5985,47496,1/25/2021 15:00:00
233,Unknown Gender,15,8842,10,8248,1/25/2021 15:00:00
234,Male,6076,130182,2922,23864,1/25/2021 15:00:00
235,Unknown Gender,203,9045,11,8259,1/26/2021 15:00:00
236,Male,6558,136740,3400,27264,1/26/2021 15:00:00
237,Female,10483,243918,5721,53217,1/26/2021 15:00:00
238,Female,14692,258610,8160,61377,1/27/2021 15:00:00
239,Male,9192,145932,4498,31762,1/27/2021 15:00:00
240,Unknown Gender,48,9093,13,8272,1/27/2021 15:00:00
241,Male,8537,154469,3282,35044,1/28/2021 15:00:00
242,Unknown Gender,19,9112,6,8278,1/28/2021 15:00:00
243,Female,13557,272167,6252,67629,1/28/2021 15:00:00
244,Male,8926,163395,2373,37417,1/29/2021 15:00:00
245,Unknown Gender,65,9177,3,8281,1/29/2021 15:00:00
246,Female,14626,286793,5251,72880,1/29/2021 15:00:00
247,Male,6431,169826,902,38319,1/30/2021 15:00:00
248,Unknown Gender,4,9181,2,8283,1/30/2021 15:00:00
249,Female,10863,297656,1871,74751,1/30/2021 15:00:00
250,Female,2203,299859,814,75565,1/31/2021 15:00:00
251,Male,1433,171259,565,38884,1/31/2021 15:00:00
252,Unknown Gender,3,9184,2,8285,1/31/2021 15:00:00
253,Male,2359,173618,1568,40452,2/1/2021 15:00:00
254,Unknown Gender,8,9192,9,8294,2/1/2021 15:00:00
255,Female,3911,303770,2884,78449,2/1/2021 15:00:00
256,Unknown Gender,13,9205,3,8297,2/2/2021 15:00:00
257,Male,4779,178397,5174,45626,2/2/2021 15:00:00
258,Female,6857,310627,8873,87322,2/2/2021 15:00:00
259,Unknown Gender,65,9270,9,8306,2/3/2021 15:00:00
260,Female,10412,321039,11445,98767,2/3/2021 15:00:00
261,Male,6916,185313,7242,52868,2/3/2021 15:00:00
262,Unknown Gender,211,9481,19,8325,2/4/2021 15:00:00
263,Female,12834,333873,10410,109177,2/4/2021 15:00:00
264,Male,8361,193674,5948,58816,2/4/2021 15:00:00
265,Unknown Gender,210,9691,20,8345,2/5/2021 15:00:00
266,Female,12136,346009,12069,121246,2/5/2021 15:00:00
267,Male,7434,201108,5992,64808,2/5/2021 15:00:00
268,Unknown Gender,76,9767,5,8350,2/6/2021 15:00:00
269,Female,6978,352987,4563,125809,2/6/2021 15:00:00
270,Male,3928,205036,2514,67322,2/6/2021 15:00:00
271,Unknown Gender,1,9768,2,8352,2/7/2021 15:00:00
272,Male,2196,207232,656,67978,2/7/2021 15:00:00
