OBJECTID,VACCINATION_DATE,FirstDailyDose,FirstDoseCumulative,SecondDailyDose,SecondDoseCumulative,SingleDailyDose,SingleDoseCumulative,AtleastOneVaccine,AtleastOneVaccineCumulative,CompletedVax,CompletedVaxCumulative,FirstSecondSingleVaccination_12,FirstSecondSingleVaccination_13
204,7/5/2021 15:00:00,3743,3510448,3952.000000000000000,3199701,280.000000000000000,264619.000000000000000,4023,3775067,4232,3464320,7975,6974680
205,7/6/2021 15:00:00,4456,3514904,6198.000000000000000,3205899,447.000000000000000,265066.000000000000000,4903,3779970,6645,3470965,11101,6985781
206,7/7/2021 15:00:00,4445,3519349,6338.000000000000000,3212237,477.000000000000000,265543.000000000000000,4922,3784892,6815,3477780,11260,6997041
207,7/8/2021 15:00:00,4824,3524173,6094.000000000000000,3218331,561.000000000000000,266104.000000000000000,5385,3790277,6655,3484435,11479,7008520
208,7/9/2021 15:00:00,5321,3529494,6598.000000000000000,3224929,569.000000000000000,266673.000000000000000,5890,3796167,7167,3491602,12488,7021008
209,7/10/2021 15:00:00,3519,3533013,4361.000000000000000,3229290,301.000000000000000,266974.000000000000000,3820,3799987,4662,3496264,8181,7029189
210,7/11/2021 15:00:00,2656,3535669,2545.000000000000000,3231835,221.000000000000000,267195.000000000000000,2877,3802864,2766,3499030,5422,7034611
211,7/12/2021 15:00:00,4396,3540065,5094.000000000000000,3236929,373.000000000000000,267568.000000000000000,4769,3807633,5467,3504497,9863,7044474
212,7/13/2021 15:00:00,4730,3544795,4561.000000000000000,3241490,358.000000000000000,267926.000000000000000,5088,3812721,4919,3509416,9649,7054123
213,7/14/2021 15:00:00,4591,3549386,5209.000000000000000,3246699,417.000000000000000,268343.000000000000000,5008,3817729,5626,3515042,10217,7064340
214,7/15/2021 15:00:00,4861,3554247,4939.000000000000000,3251638,355.000000000000000,268698.000000000000000,5216,3822945,5294,3520336,10155,7074495
215,7/16/2021 15:00:00,6257,3560504,5786.000000000000000,3257424,399.000000000000000,269097.000000000000000,6656,3829601,6185,3526521,12442,7086937
216,7/17/2021 15:00:00,3402,3563906,3535.000000000000000,3260959,298.000000000000000,269395.000000000000000,3700,3833301,3833,3530354,7235,7094172
217,7/18/2021 15:00:00,2302,3566208,2363.000000000000000,3263322,107.000000000000000,269502.000000000000000,2409,3835710,2470,3532824,4772,7098944
218,7/19/2021 15:00:00,5211,3571419,4451.000000000000000,3267773,371.000000000000000,269873.000000000000000,5582,3841292,4822,3537646,10033,7108977
219,7/20/2021 15:00:00,5316,3576735,4661.000000000000000,3272434,365.000000000000000,270238.000000000000000,5681,3846973,5026,3542672,10342,7119319
220,7/21/2021 15:00:00,5598,3582333,4901.000000000000000,3277335,410.000000000000000,270648.000000000000000,6008,3852981,5311,3547983,10909,7130228
221,7/22/2021 15:00:00,5980,3588313,4612.000000000000000,3281947,401.000000000000000,271049.000000000000000,6381,3859362,5013,3552996,10993,7141221
222,7/23/2021 15:00:00,6811,3595124,4837.000000000000000,3286784,484.000000000000000,271533.000000000000000,7295,3866657,5321,3558317,12132,7153353
223,7/24/2021 15:00:00,4258,3599382,3188.000000000000000,3289972,265.000000000000000,271798.000000000000000,4523,3871180,3453,3561770,7711,7161064
224,7/25/2021 15:00:00,3283,3602665,1122.000000000000000,3291094,139.000000000000000,271937.000000000000000,3422,3874602,1261,3563031,4544,7165608
225,7/26/2021 15:00:00,6173,3608838,3891.000000000000000,3294985,410.000000000000000,272347.000000000000000,6583,3881185,4301,3567332,10474,7176082
226,7/27/2021 15:00:00,6328,3615166,4045.000000000000000,3299030,449.000000000000000,272796.000000000000000,6777,3887962,4494,3571826,10822,7186904
227,7/28/2021 15:00:00,6750,3621916,3988.000000000000000,3303018,453.000000000000000,273249.000000000000000,7203,3895165,4441,3576267,11191,7198095
228,7/29/2021 15:00:00,6772,3628688,4128.000000000000000,3307146,409.000000000000000,273658.000000000000000,7181,3902346,4537,3580804,11309,7209404
229,7/30/2021 15:00:00,7442,3636130,4489.000000000000000,3311635,515.000000000000000,274173.000000000000000,7957,3910303,5004,3585808,12446,7221850
230,7/31/2021 15:00:00,4688,3640818,3006.000000000000000,3314641,269.000000000000000,274442.000000000000000,4957,3915260,3275,3589083,7963,7229813
231,8/1/2021 15:00:00,3706,3644524,2067.000000000000000,3316708,151.000000000000000,274593.000000000000000,3857,3919117,2218,3591301,5924,7235737
232,8/2/2021 15:00:00,6952,3651476,3624.000000000000000,3320332,332.000000000000000,274925.000000000000000,7284,3926401,3956,3595257,10908,7246645
233,8/3/2021 15:00:00,6931,3658407,3865.000000000000000,3324197,501.000000000000000,275426.000000000000000,7432,3933833,4366,3599623,11297,7257942
234,8/4/2021 15:00:00,7143,3665550,3880.000000000000000,3328077,521.000000000000000,275947.000000000000000,7664,3941497,4401,3604024,11544,7269486
235,8/5/2021 15:00:00,7607,3673157,4104.000000000000000,3332181,533.000000000000000,276480.000000000000000,8140,3949637,4637,3608661,12244,7281730
236,8/6/2021 15:00:00,8232,3681389,4676.000000000000000,3336857,439.000000000000000,276919.000000000000000,8671,3958308,5115,3613776,13347,7295077
237,8/7/2021 15:00:00,5210,3686599,2778.000000000000000,3339635,260.000000000000000,277179.000000000000000,5470,3963778,3038,3616814,8248,7303325
238,8/8/2021 15:00:00,3911,3690510,2043.000000000000000,3341678,140.000000000000000,277319.000000000000000,4051,3967829,2183,3618997,6094,7309419
239,8/9/2021 15:00:00,6891,3697401,4484.000000000000000,3346162,358.000000000000000,277677.000000000000000,7249,3975078,4842,3623839,11733,7321152
240,8/10/2021 15:00:00,7043,3704444,4417.000000000000000,3350579,334.000000000000000,278011.000000000000000,7377,3982455,4751,3628590,11794,7332946
241,8/11/2021 15:00:00,6975,3711419,4390.000000000000000,3354969,456.000000000000000,278467.000000000000000,7431,3989886,4846,3633436,11821,7344767
242,8/12/2021 15:00:00,8525,3719944,4670.000000000000000,3359639,436.000000000000000,278903.000000000000000,8961,3998847,5106,3638542,13631,7358398
243,8/13/2021 15:00:00,7031,3726975,5301.000000000000000,3364940,356.000000000000000,279259.000000000000000,7387,4006234,5657,3644199,12688,7371086
244,8/14/2021 15:00:00,4844,3731819,3306.000000000000000,3368246,256.000000000000000,279515.000000000000000,5100,4011334,3562,3647761,8406,7379492
245,8/15/2021 15:00:00,3262,3735081,2702.000000000000000,3370948,161.000000000000000,279676.000000000000000,3423,4014757,2863,3650624,6125,7385617
246,8/16/2021 15:00:00,5354,3740435,5042.000000000000000,3375990,341.000000000000000,280017.000000000000000,5695,4020452,5383,3656007,10737,7396354
247,8/17/2021 15:00:00,6882,3747317,5156.000000000000000,3381146,381.000000000000000,280398.000000000000000,7263,4027715,5537,3661544,12419,7408773
248,8/18/2021 15:00:00,6423,3753740,5234.000000000000000,3386380,469.000000000000000,280867.000000000000000,6892,4034607,5703,3667247,12126,7420899
249,8/19/2021 15:00:00,5926,3759666,5273.000000000000000,3391653,408.000000000000000,281275.000000000000000,6334,4040941,5681,3672928,11607,7432506
250,8/20/2021 15:00:00,6902,3766568,6262.000000000000000,3397915,402.000000000000000,281677.000000000000000,7304,4048245,6664,3679592,13566,7446072
251,8/21/2021 15:00:00,4255,3770823,3880.000000000000000,3401795,223.000000000000000,281900.000000000000000,4478,4052723,4103,3683695,8358,7454430
252,8/22/2021 15:00:00,3008,3773831,3093.000000000000000,3404888,108.000000000000000,282008.000000000000000,3116,4055839,3201,3686896,6209,7460639
253,8/23/2021 15:00:00,6114,3779945,5849.000000000000000,3410737,281.000000000000000,282289.000000000000000,6395,4062234,6130,3693026,12244,7472883
254,8/24/2021 15:00:00,6525,3786470,5787.000000000000000,3416524,434.000000000000000,282723.000000000000000,6959,4069193,6221,3699247,12746,7485629
255,8/25/2021 15:00:00,6792,3793262,5908.000000000000000,3422432,412.000000000000000,283135.000000000000000,7204,4076397,6320,3705567,13112,7498741
256,8/26/2021 15:00:00,7065,3800327,6295.000000000000000,3428727,412.000000000000000,283547.000000000000000,7477,4083874,6707,3712274,13772,7512513
257,8/27/2021 15:00:00,6716,3807043,6877.000000000000000,3435604,305.000000000000000,283852.000000000000000,7021,4090895,7182,3719456,13898,7526411
258,8/28/2021 15:00:00,6817,3813860,6413.000000000000000,3442017,313.000000000000000,284165.000000000000000,7130,4098025,6726,3726182,13543,7539954
259,8/29/2021 15:00:00,3697,3817557,3612.000000000000000,3445629,608.000000000000000,284773.000000000000000,4305,4102330,4220,3730402,7917,7547871
260,8/30/2021 15:00:00,5869,3823426,6020.000000000000000,3451649,947.000000000000000,285720.000000000000000,6816,4109146,6967,3737369,12836,7560707
261,8/31/2021 15:00:00,5622,3829048,5841.000000000000000,3457490,941.000000000000000,286661.000000000000000,6563,4115709,6782,3744151,12404,7573111
262,9/1/2021 15:00:00,5386,3834434,5499.000000000000000,3462989,875.000000000000000,287536.000000000000000,6261,4121970,6374,3750525,11760,7584871
263,9/2/2021 15:00:00,5431,3839865,5768.000000000000000,3468757,694.000000000000000,288230.000000000000000,6125,4128095,6462,3756987,11893,7596764
264,9/3/2021 15:00:00,5893,3845758,6790.000000000000000,3475547,961.000000000000000,289191.000000000000000,6854,4134949,7751,3764738,13644,7610408
265,9/4/2021 15:00:00,3674,3849432,4248.000000000000000,3479795,874.000000000000000,290065.000000000000000,4548,4139497,5122,3769860,8796,7619204
266,9/5/2021 15:00:00,2815,3852247,2732.000000000000000,3482527,105.000000000000000,290170.000000000000000,2920,4142417,2837,3772697,5652,7624856
267,9/6/2021 15:00:00,1019,3853266,1098.000000000000000,3483625,55.000000000000000,290225.000000000000000,1074,4143491,1153,3773850,2172,7627028
268,9/7/2021 15:00:00,5194,3858460,7120.000000000000000,3490745,2289.000000000000000,292514.000000000000000,7483,4150974,9409,3783259,14603,7641631
269,9/8/2021 15:00:00,4588,3863048,5359.000000000000000,3496104,361.000000000000000,292875.000000000000000,4949,4155923,5720,3788979,10308,7651939
270,9/9/2021 15:00:00,4944,3867992,5225.000000000000000,3501329,313.000000000000000,293188.000000000000000,5257,4161180,5538,3794517,10482,7662421
271,9/10/2021 15:00:00,6279,3874271,6352.000000000000000,3507681,1671.000000000000000,294859.000000000000000,7950,4169130,8023,3802540,14302,7676723
272,9/11/2021 15:00:00,3943,3878214,4236.000000000000000,3511917,651.000000000000000,295510.000000000000000,4594,4173724,4887,3807427,8830,7685553
273,9/12/2021 15:00:00,2945,3881159,3120.000000000000000,3515037,429.000000000000000,295939.000000000000000,3374,4177098,3549,3810976,6494,7692047
274,9/13/2021 15:00:00,4505,3885664,4643.000000000000000,3519680,323.000000000000000,296262.000000000000000,4828,4181926,4966,3815942,9471,7701518
275,9/14/2021 15:00:00,4019,3889683,4626.000000000000000,3524306,384.000000000000000,296646.000000000000000,4403,4186329,5010,3820952,9029,7710547
276,9/15/2021 15:00:00,1875,3891558,2113.000000000000000,3526419,260.000000000000000,296906.000000000000000,2135,4188464,2373,3823325,4248,7714795
