OBJECTID,VACCINATION_DATE,FirstDailyDose,FirstDoseCumulative,SecondDailyDose,SecondDoseCumulative,SingleDailyDose,SingleDoseCumulative,AtleastOneVaccine,AtleastOneVaccineCumulative,CompletedVax,CompletedVaxCumulative,FirstSecondSingleVaccination_12,FirstSecondSingleVaccination_13
47,1/29/2021 15:00:00,25479,479012,7736.000000000000000,98635,,,25479,479012,7736,98635,33215,577559
48,1/30/2021 15:00:00,18391,497403,2453.000000000000000,101088,,,18391,497403,2453,101088,20844,598403
49,1/31/2021 15:00:00,4106,501509,1275.000000000000000,102363,,,4106,501509,1275,102363,5381,603784
50,2/1/2021 15:00:00,7447,508956,4863.000000000000000,107226,,,7447,508956,4863,107226,12310,616094
51,2/2/2021 15:00:00,12737,521693,13660.000000000000000,120886,,,12737,521693,13660,120886,26397,642491
52,2/3/2021 15:00:00,18622,540315,18007.000000000000000,138893,,,18622,540315,18007,138893,36629,679120
53,2/4/2021 15:00:00,22403,562718,15652.000000000000000,154545,,,22403,562718,15652,154545,38055,717175
54,2/5/2021 15:00:00,20477,583195,17338.000000000000000,171883,,,20477,583195,17338,171883,37815,754990
55,2/6/2021 15:00:00,12081,595276,14355.000000000000000,186238,,,12081,595276,14355,186238,26436,781426
56,2/7/2021 15:00:00,5942,601218,1744.000000000000000,187982,,,5942,601218,1744,187982,7686,789112
57,2/8/2021 15:00:00,13241,614459,13048.000000000000000,201030,,,13241,614459,13048,201030,26289,815401
58,2/9/2021 15:00:00,16642,631101,13950.000000000000000,214980,,,16642,631101,13950,214980,30592,845993
59,2/10/2021 15:00:00,19228,650329,21325.000000000000000,236305,,,19228,650329,21325,236305,40553,886546
60,2/11/2021 15:00:00,22833,673162,17453.000000000000000,253758,,,22833,673162,17453,253758,40286,926832
61,2/12/2021 15:00:00,20334,693496,19803.000000000000000,273561,,,20334,693496,19803,273561,40137,966969
62,2/13/2021 15:00:00,11345,704841,6313.000000000000000,279874,,,11345,704841,6313,279874,17658,984627
63,2/14/2021 15:00:00,7059,711900,2053.000000000000000,281927,,,7059,711900,2053,281927,9112,993739
64,2/15/2021 15:00:00,11666,723566,13164.000000000000000,295091,,,11666,723566,13164,295091,24830,1018569
65,2/16/2021 15:00:00,16537,740103,21611.000000000000000,316702,,,16537,740103,21611,316702,38148,1056717
66,2/17/2021 15:00:00,20586,760689,27084.000000000000000,343786,,,20586,760689,27084,343786,47670,1104387
67,2/18/2021 15:00:00,3145,763834,4700.000000000000000,348486,,,3145,763834,4700,348486,7845,1112232
68,2/19/2021 15:00:00,10231,774065,20351.000000000000000,368837,,,10231,774065,20351,368837,30582,1142814
69,2/20/2021 15:00:00,10279,784344,20811.000000000000000,389648,,,10279,784344,20811,389648,31090,1173904
70,2/21/2021 15:00:00,6139,790483,7899.000000000000000,397547,,,6139,790483,7899,397547,14038,1187942
71,2/22/2021 15:00:00,8051,798534,15834.000000000000000,413381,,,8051,798534,15834,413381,23885,1211827
72,2/23/2021 15:00:00,15551,814085,16423.000000000000000,429804,,,15551,814085,16423,429804,31974,1243801
73,2/24/2021 15:00:00,17934,832019,25119.000000000000000,454923,,,17934,832019,25119,454923,43053,1286854
74,2/25/2021 15:00:00,20369,852388,26835.000000000000000,481758,,,20369,852388,26835,481758,47204,1334058
75,2/26/2021 15:00:00,26778,879166,26387.000000000000000,508145,,,26778,879166,26387,508145,53165,1387223
76,2/27/2021 15:00:00,16071,895237,11658.000000000000000,519803,,,16071,895237,11658,519803,27729,1414952
77,2/28/2021 15:00:00,15478,910715,4780.000000000000000,524583,,,15478,910715,4780,524583,20258,1435210
78,3/1/2021 15:00:00,25582,936297,12358.000000000000000,536941,,,25582,936297,12358,536941,37940,1473150
79,3/2/2021 15:00:00,23927,960224,13247.000000000000000,550188,29.000000000000000,29.000000000000000,23956,960253,13276,550217,37203,1510353
80,3/3/2021 15:00:00,30118,990342,18305.000000000000000,568493,169.000000000000000,198.000000000000000,30287,990540,18474,568691,48592,1558945
81,3/4/2021 15:00:00,31011,1021353,18062.000000000000000,586555,4061.000000000000000,4259.000000000000000,35072,1025612,22123,590814,53134,1612079
82,3/5/2021 15:00:00,29483,1050836,19301.000000000000000,605856,4901.000000000000000,9160.000000000000000,34384,1059996,24202,615016,53685,1665764
83,3/6/2021 15:00:00,17719,1068555,8882.000000000000000,614738,5983.000000000000000,15143.000000000000000,23702,1083698,14865,629881,32584,1698348
84,3/7/2021 15:00:00,12049,1080604,4772.000000000000000,619510,6609.000000000000000,21752.000000000000000,18658,1102356,11381,641262,23430,1721778
85,3/8/2021 15:00:00,26130,1106734,8694.000000000000000,628204,8282.000000000000000,30034.000000000000000,34412,1136768,16976,658238,43106,1764884
86,3/9/2021 15:00:00,26347,1133081,15313.000000000000000,643517,8340.000000000000000,38374.000000000000000,34687,1171455,23653,681891,50000,1814884
87,3/10/2021 15:00:00,30068,1163149,15840.000000000000000,659357,7937.000000000000000,46311.000000000000000,38005,1209460,23777,705668,53845,1868729
88,3/11/2021 15:00:00,36150,1199299,16334.000000000000000,675691,4032.000000000000000,50343.000000000000000,40182,1249642,20366,726034,56516,1925245
89,3/12/2021 15:00:00,37127,1236426,17945.000000000000000,693636,2917.000000000000000,53260.000000000000000,40044,1289686,20862,746896,57989,1983234
90,3/13/2021 15:00:00,22564,1258990,10165.000000000000000,703801,1594.000000000000000,54854.000000000000000,24158,1313844,11759,758655,34323,2017557
91,3/14/2021 15:00:00,17830,1276820,6631.000000000000000,710432,990.000000000000000,55844.000000000000000,18820,1332664,7621,766276,25451,2043008
92,3/15/2021 15:00:00,29927,1306747,11262.000000000000000,721694,591.000000000000000,56435.000000000000000,30518,1363182,11853,778129,41780,2084788
93,3/16/2021 15:00:00,33567,1340314,13479.000000000000000,735173,764.000000000000000,57199.000000000000000,34331,1397513,14243,792372,47810,2132598
94,3/17/2021 15:00:00,37686,1378000,16913.000000000000000,752086,1179.000000000000000,58378.000000000000000,38865,1436378,18092,810464,55778,2188376
95,3/18/2021 15:00:00,41425,1419425,12545.000000000000000,764631,1353.000000000000000,59731.000000000000000,42778,1479156,13898,824362,55323,2243699
96,3/19/2021 15:00:00,38252,1457677,15530.000000000000000,780161,1041.000000000000000,60772.000000000000000,39293,1518449,16571,840933,54823,2298522
97,3/20/2021 15:00:00,24477,1482154,9969.000000000000000,790130,1117.000000000000000,61889.000000000000000,25594,1544043,11086,852019,35563,2334085
98,3/21/2021 15:00:00,19103,1501257,7755.000000000000000,797885,326.000000000000000,62215.000000000000000,19429,1563472,8081,860100,27184,2361269
99,3/22/2021 15:00:00,32569,1533826,11554.000000000000000,809439,826.000000000000000,63041.000000000000000,33395,1596867,12380,872480,44949,2406218
100,3/23/2021 15:00:00,37770,1571596,17388.000000000000000,826827,1540.000000000000000,64581.000000000000000,39310,1636177,18928,891408,56698,2462916
101,3/24/2021 15:00:00,41142,1612738,21085.000000000000000,847912,1371.000000000000000,65952.000000000000000,42513,1678690,22456,913864,63598,2526514
102,3/25/2021 15:00:00,42452,1655190,20950.000000000000000,868862,2515.000000000000000,68467.000000000000000,44967,1723657,23465,937329,65917,2592431
103,3/26/2021 15:00:00,36580,1691770,26401.000000000000000,895263,2498.000000000000000,70965.000000000000000,39078,1762735,28899,966228,65479,2657910
104,3/27/2021 15:00:00,27816,1719586,16821.000000000000000,912084,2765.000000000000000,73730.000000000000000,30581,1793316,19586,985814,47402,2705312
105,3/28/2021 15:00:00,17001,1736587,12544.000000000000000,924628,1612.000000000000000,75342.000000000000000,18613,1811929,14156,999970,31157,2736469
106,3/29/2021 15:00:00,29733,1766320,26445.000000000000000,951073,1134.000000000000000,76476.000000000000000,30867,1842796,27579,1027549,57312,2793781
107,3/30/2021 15:00:00,40055,1806375,29077.000000000000000,980150,1848.000000000000000,78324.000000000000000,41903,1884699,30925,1058474,70980,2864761
108,3/31/2021 15:00:00,41047,1847422,34763.000000000000000,1014913,5739.000000000000000,84063.000000000000000,46786,1931485,40502,1098976,81549,2946310
109,4/1/2021 15:00:00,40361,1887783,39510.000000000000000,1054423,5585.000000000000000,89648.000000000000000,45946,1977431,45095,1144071,85456,3031766
110,4/2/2021 15:00:00,34903,1922686,32648.000000000000000,1087071,6080.000000000000000,95728.000000000000000,40983,2018414,38728,1182799,73631,3105397
