ZIP_CODE,FirstDose,SecondDose,SingleDose,AtleastOneDose,FullyVaccinated
1880,10.0,5.0,,,
1913,1.0,1.0,,,
1930,5.0,3.0,1.0,6.0,4.0
1944,,,1.0,,
1945,17.0,8.0,1.0,18.0,9.0
1960,15.0,13.0,,,
2030,10.0,4.0,1.0,11.0,5.0
2045,1.0,1.0,,,
2061,10.0,6.0,,,
2062,10.0,7.0,,,
2077,1.0,1.0,,,
2078,1.0,1.0,,,
2110,3.0,1.0,,,
2111,16.0,10.0,,,
2113,11.0,3.0,,,
2114,30.0,19.0,2.0,32.0,21.0
2127,29.0,18.0,2.0,31.0,20.0
2128,18.0,7.0,,,
2129,19.0,9.0,1.0,20.0,10.0
2130,46.0,18.0,1.0,47.0,19.0
2144,45.0,26.0,3.0,48.0,29.0
2145,19.0,9.0,2.0,21.0,11.0
2163,5.0,1.0,,,
2177,1.0,1.0,,,
2179,1.0,,,,
2,2.0,1.0,,,
11,3.0,2.0,,,
20,14.0,11.0,,,
111,1.0,1.0,,,
204,1.0,,,,
602,4.0,2.0,,,
622,4.0,1.0,,,
627,1.0,,,,
652,1.0,,,,
677,2.0,1.0,,,
681,1.0,,,,
713,1.0,1.0,,,
727,2.0,1.0,,,
729,4.0,1.0,,,
731,1.0,,,,
738,6.0,3.0,1.0,7.0,4.0
745,5.0,5.0,,,
754,2.0,,,,
795,5.0,2.0,,,
804,3.0,2.0,,,
820,3.0,1.0,1.0,4.0,2.0
822,3.0,1.0,,,
831,3.0,2.0,,,
911,3.0,,,,
915,2.0,,,,
920,1.0,,1.0,2.0,
922,1.0,1.0,,,
936,4.0,3.0,,,
956,7.0,4.0,,,
961,4.0,2.0,,,
965,1.0,1.0,,,
979,2.0,2.0,,,
1013,1.0,1.0,,,
1020,2.0,2.0,,,
1022,3.0,3.0,,,
1038,1.0,,,,
1040,11.0,6.0,,,
1056,2.0,1.0,,,
1063,4.0,2.0,,,
1070,1.0,,,,
1072,1.0,1.0,,,
