OBJECTID,VACCINATION_DATE,AgeRange,FirstDailyDose,FirstDailyDoseCumulative,SecondDailyDose,SecondDailyDoseCumulative,SingleDailyDose,SingleDailyDoseCumulative,CombinedTotalDoses,CombinedTotalDosesCumulative,FullyVaccinated,FullyVaccinatedCumulative
169,2/4/2020 15:00:00,age40to49,,28,1,2,,0,,30,,2
170,2/6/2020 15:00:00,age20to29,1,20,,2,,0,,22,,2
171,2/7/2020 15:00:00,age80plus,1,10,,0,,0,,10,,0
172,2/9/2020 15:00:00,age70to79,1,23,,3,,0,,26,,3
173,2/10/2020 15:00:00,age80plus,1,11,,0,,0,,11,,0
174,2/13/2020 15:00:00,age50to59,1,28,,1,,0,,29,,1
175,2/13/2020 15:00:00,age70to79,1,24,,3,,0,,27,,3
176,2/15/2020 15:00:00,age70to79,1,25,,3,,0,,28,,3
177,2/16/2020 15:00:00,age60to69,1,26,,0,,0,,26,,0
178,2/17/2020 15:00:00,age30to39,,30,1,3,,0,,33,,3
179,2/17/2020 15:00:00,age70to79,2,27,,3,,0,,30,,3
180,2/17/2020 15:00:00,age80plus,,11,1,1,,0,,12,,1
181,2/18/2020 15:00:00,age80plus,1,12,,1,,0,,13,,1
182,2/19/2020 15:00:00,age70to79,,27,1,4,,0,,31,,4
183,2/20/2020 15:00:00,age10to19,1,18,,0,,0,,18,,0
184,2/20/2020 15:00:00,age70to79,1,28,,4,,0,,32,,4
185,2/21/2020 15:00:00,age50to59,,28,1,2,,0,,30,,2
186,2/22/2020 15:00:00,age20to29,1,21,,2,,0,,23,,2
187,2/22/2020 15:00:00,age60to69,,26,1,1,,0,,27,,1
188,2/22/2020 15:00:00,age70to79,1,29,,4,,0,,33,,4
189,2/23/2020 15:00:00,age20to29,1,22,,2,,0,,24,,2
190,2/24/2020 15:00:00,age30to39,,30,1,4,,0,,34,,4
191,2/24/2020 15:00:00,age60to69,1,27,,1,,0,,28,,1
192,2/24/2020 15:00:00,age70to79,1,30,1,5,,0,,35,,5
193,3/1/2020 15:00:00,age30to39,1,31,,4,,0,,35,,4
194,3/1/2020 15:00:00,age40to49,2,30,,2,,0,,32,,2
195,3/1/2020 15:00:00,age50to59,2,30,,2,,0,,32,,2
196,3/1/2020 15:00:00,age60to69,3,30,,1,,0,,31,,1
197,3/2/2020 15:00:00,age70to79,1,31,,5,,0,,36,,5
198,3/3/2020 15:00:00,age80plus,1,13,,1,,0,,14,,1
199,3/4/2020 15:00:00,age10to19,1,19,,0,,0,,19,,0
200,3/4/2020 15:00:00,age50to59,2,32,,2,,0,,34,,2
201,3/5/2020 15:00:00,age60to69,1,31,,1,,0,,32,,1
202,3/5/2020 15:00:00,age70to79,1,32,,5,,0,,37,,5
203,3/8/2020 15:00:00,age70to79,2,34,,5,,0,,39,,5
204,3/9/2020 15:00:00,age40to49,1,31,,2,,0,,33,,2
205,3/11/2020 15:00:00,age40to49,1,32,,2,,0,,34,,2
206,3/11/2020 15:00:00,age60to69,1,32,,1,,0,,33,,1
207,3/13/2020 15:00:00,age40to49,1,33,,2,,0,,35,,2
208,3/13/2020 15:00:00,age70to79,1,35,,5,,0,,40,,5
209,3/15/2020 15:00:00,age40to49,,33,1,3,,0,,36,,3
210,3/15/2020 15:00:00,age50to59,1,33,,2,,0,,35,,2
211,3/18/2020 15:00:00,age30to39,1,32,,4,,0,,36,,4
212,3/18/2020 15:00:00,age70to79,1,36,,5,,0,,41,,5
213,3/18/2020 15:00:00,age80plus,1,14,,1,,0,,15,,1
214,3/19/2020 15:00:00,age20to29,1,23,,2,,0,,25,,2
215,3/20/2020 15:00:00,age50to59,2,35,,2,,0,,37,,2
216,3/22/2020 15:00:00,age30to39,1,33,,4,,0,,37,,4
217,3/22/2020 15:00:00,age50to59,,35,1,3,,0,,38,,3
218,3/23/2020 15:00:00,age50to59,1,36,,3,,0,,39,,3
219,3/23/2020 15:00:00,age60to69,1,33,,1,,0,,34,,1
