OBJECTID,VACCINATION_DATE,AgeRange,DailyFirstDose,CumulativeFirstDose,DailySecondDose,CumulativeSecondDose
139,12/17/2020 15:00:00,age40to49,231,371,0,4
140,12/17/2020 15:00:00,age20to29,182,294,0,2
141,12/17/2020 15:00:00,age50to59,198,303,0,9
142,12/17/2020 15:00:00,age60to69,116,194,0,7
143,12/17/2020 15:00:00,age80plus,1,7,0,1
144,12/17/2020 15:00:00,age30to39,301,501,0,3
145,12/18/2020 15:00:00,age70to79,48,87,0,5
146,12/18/2020 15:00:00,age20to29,369,663,0,2
147,12/18/2020 15:00:00,age30to39,759,1260,0,3
148,12/18/2020 15:00:00,age40to49,672,1043,0,4
149,12/18/2020 15:00:00,age50to59,606,909,1,10
150,12/18/2020 15:00:00,age10to19,2,2,0,0
151,12/18/2020 15:00:00,age60to69,398,592,0,7
152,12/19/2020 15:00:00,age40to49,202,1245,0,4
153,12/19/2020 15:00:00,age70to79,11,98,0,5
154,12/19/2020 15:00:00,age30to39,221,1481,0,3
155,12/19/2020 15:00:00,age20to29,102,765,0,2
156,12/19/2020 15:00:00,age50to59,185,1094,1,11
157,12/19/2020 15:00:00,age60to69,124,716,0,7
158,12/20/2020 15:00:00,age30to39,80,1561,0,3
159,12/20/2020 15:00:00,age40to49,72,1317,0,4
160,12/20/2020 15:00:00,age70to79,5,103,0,5
161,12/20/2020 15:00:00,age10to19,2,4,0,0
162,12/20/2020 15:00:00,age50to59,46,1140,0,11
163,12/20/2020 15:00:00,age20to29,40,805,0,2
164,12/20/2020 15:00:00,age60to69,31,747,0,7
165,12/21/2020 15:00:00,age70to79,53,156,0,5
166,12/21/2020 15:00:00,age40to49,875,2192,0,4
167,12/21/2020 15:00:00,age30to39,1084,2645,0,3
168,12/21/2020 15:00:00,age10to19,6,10,0,0
169,12/21/2020 15:00:00,age50to59,750,1890,0,11
170,12/21/2020 15:00:00,age80plus,2,9,0,1
171,12/21/2020 15:00:00,age20to29,487,1292,0,2
