VACCINATION_DATE,AgeRange,FirstDailyDose,PercentFirstDailyDose,SecondDailyDose,PercentSecondDailyDose,SingleDailyDose,PercentSingleDailyDose,CombinedAllDoses,PercentCombinedAllDoses,FullyVaccinated,PercentFullyVaccinated,AtLeastOneVaccine,PercentAtLeastOneVaccine
2021-01-11,65 and Older,2978.0,0.31,232.0,0.024,,,,,,,2978.0,0.31
2021-01-12,12-17,25.0,0.006,7.0,0.002,,,,,,,25.0,0.006
2021-01-12,18-49,8019.0,0.318,2726.0,0.108,,,,,,,8019.0,0.318
2021-01-12,50-64,4792.0,0.39,1598.0,0.13,,,,,,,4792.0,0.39
2021-01-12,65 and Older,4190.0,0.437,1014.0,0.106,,,,,,,4190.0,0.437
2021-01-13,12-17,15.0,0.003,1.0,0.0,,,,,,,15.0,0.003
2021-01-13,18-49,9331.0,0.37,2010.0,0.08,,,,,,,9331.0,0.37
2021-01-13,50-64,5502.0,0.448,1137.0,0.093,,,,,,,5502.0,0.448
2021-01-13,65 and Older,3309.0,0.345,559.0,0.058,,,,,,,3309.0,0.345
2021-01-14,12-17,10.0,0.002,,,,,,,,,10.0,0.002
2021-01-14,18-49,8685.0,0.344,1093.0,0.043,,,,,,,8685.0,0.344
2021-01-14,50-64,5198.0,0.423,548.0,0.045,,,,,,,5198.0,0.423
2021-01-14,65 and Older,3561.0,0.371,195.0,0.02,,,,,,,3561.0,0.371
2021-01-15,12-17,12.0,0.003,8.0,0.002,,,,,,,12.0,0.003
2021-01-15,18-49,9322.0,0.369,793.0,0.031,,,,,,,9322.0,0.369
2021-01-15,50-64,5239.0,0.427,600.0,0.049,,,,,,,5239.0,0.427
2021-01-15,65 and Older,4428.0,0.462,421.0,0.044,,,,,,,4428.0,0.462
2021-01-16,12-17,1.0,0.0,,,,,,,,,1.0,0.0
2021-01-16,18-49,2412.0,0.096,633.0,0.025,,,,,,,2412.0,0.096
2021-01-16,50-64,1147.0,0.093,438.0,0.036,,,,,,,1147.0,0.093
2021-01-16,65 and Older,1947.0,0.203,455.0,0.047,,,,,,,1947.0,0.203
2021-01-17,12-17,2.0,0.0,1.0,0.0,,,,,,,2.0,0.0
2021-01-17,18-49,868.0,0.034,615.0,0.024,,,,,,,868.0,0.034
2021-01-17,50-64,567.0,0.046,342.0,0.028,,,,,,,567.0,0.046
2021-01-17,65 and Older,673.0,0.07,366.0,0.038,,,,,,,673.0,0.07
2021-01-18,12-17,4.0,0.001,1.0,0.0,,,,,,,4.0,0.001
2021-01-18,18-49,2131.0,0.084,1260.0,0.05,,,,,,,2131.0,0.084
2021-01-18,50-64,1407.0,0.115,921.0,0.075,,,,,,,1407.0,0.115
2021-01-18,65 and Older,3599.0,0.375,709.0,0.074,,,,,,,3599.0,0.375
2021-01-19,12-17,9.0,0.002,,,,,,,,,9.0,0.002
2021-01-19,18-49,4720.0,0.187,2588.0,0.103,,,,,,,4720.0,0.187
2021-01-19,50-64,2750.0,0.224,1432.0,0.117,,,,,,,2750.0,0.224
2021-01-19,65 and Older,9098.0,0.948,795.0,0.083,,,,,,,9098.0,0.948
2021-01-20,12-17,9.0,0.002,2.0,0.0,,,,,,,9.0,0.002
2021-01-20,18-49,5540.0,0.22,2800.0,0.111,,,,,,,5540.0,0.22
2021-01-20,50-64,3374.0,0.275,1520.0,0.124,,,,,,,3374.0,0.275
2021-01-20,65 and Older,11667.0,1.216,568.0,0.059,,,,,,,11667.0,1.216
2021-01-21,12-17,12.0,0.003,1.0,0.0,,,,,,,12.0,0.003
2021-01-21,18-49,7013.0,0.278,1929.0,0.076,,,,,,,7013.0,0.278
2021-01-21,50-64,4162.0,0.339,1003.0,0.082,,,,,,,4162.0,0.339
2021-01-21,65 and Older,11953.0,1.246,378.0,0.039,,,,,,,11953.0,1.246
2021-01-22,12-17,13.0,0.003,4.0,0.001,,,,,,,13.0,0.003
2021-01-22,18-49,9456.0,0.375,1509.0,0.06,,,,,,,9456.0,0.375
2021-01-22,50-64,5804.0,0.473,934.0,0.076,,,,,,,5804.0,0.473
2021-01-22,65 and Older,13063.0,1.362,824.0,0.086,,,,,,,13063.0,1.362
2021-01-23,12-17,12.0,0.003,,,,,,,,,12.0,0.003
2021-01-23,18-49,3044.0,0.121,678.0,0.027,,,,,,,3044.0,0.121
2021-01-23,50-64,1678.0,0.137,425.0,0.035,,,,,,,1678.0,0.137
2021-01-23,65 and Older,4793.0,0.5,436.0,0.045,,,,,,,4793.0,0.5
2021-01-24,12-17,13.0,0.003,1.0,0.0,,,,,,,13.0,0.003
2021-01-24,18-49,761.0,0.03,625.0,0.025,,,,,,,761.0,0.03
2021-01-24,50-64,577.0,0.047,522.0,0.043,,,,,,,577.0,0.047
2021-01-24,65 and Older,1938.0,0.202,416.0,0.043,,,,,,,1938.0,0.202
2021-01-25,12-17,10.0,0.002,4.0,0.001,,,,,,,10.0,0.002
2021-01-25,18-49,4269.0,0.169,4053.0,0.161,,,,,,,4269.0,0.169
2021-01-25,50-64,2528.0,0.206,2722.0,0.222,,,,,,,2528.0,0.206
2021-01-25,65 and Older,9451.0,0.985,1322.0,0.138,,,,,,,9451.0,0.985
2021-01-26,12-17,11.0,0.002,7.0,0.002,,,,,,,11.0,0.002
2021-01-26,18-49,4761.0,0.189,4181.0,0.166,,,,,,,4761.0,0.189
2021-01-26,50-64,2729.0,0.222,2778.0,0.226,,,,,,,2729.0,0.222
2021-01-26,65 and Older,9909.0,1.033,1581.0,0.165,,,,,,,9909.0,1.033
2021-01-27,12-17,19.0,0.004,9.0,0.002,,,,,,,19.0,0.004
2021-01-27,18-49,5890.0,0.233,6352.0,0.252,,,,,,,5890.0,0.233
2021-01-27,50-64,3491.0,0.284,3825.0,0.311,,,,,,,3491.0,0.284
2021-01-27,65 and Older,14729.0,1.535,1906.0,0.199,,,,,,,14729.0,1.535
2021-01-28,12-17,14.0,0.003,8.0,0.002,,,,,,,14.0,0.003
2021-01-28,18-49,5709.0,0.226,4713.0,0.187,,,,,,,5709.0,0.226
2021-01-28,50-64,3581.0,0.292,2878.0,0.234,,,,,,,3581.0,0.292
2021-01-28,65 and Older,13123.0,1.368,1385.0,0.144,,,,,,,13123.0,1.368
2021-01-29,12-17,54.0,0.012,22.0,0.005,,,,,,,54.0,0.012
2021-01-29,18-49,5728.0,0.227,3755.0,0.149,,,,,,,5728.0,0.227
2021-01-29,50-64,3726.0,0.303,2265.0,0.184,,,,,,,3726.0,0.303
2021-01-29,65 and Older,14473.0,1.509,1128.0,0.118,,,,,,,14473.0,1.509
2021-01-30,12-17,17.0,0.004,3.0,0.001,,,,,,,17.0,0.004
2021-01-30,18-49,4313.0,0.171,1280.0,0.051,,,,,,,4313.0,0.171
2021-01-30,50-64,2570.0,0.209,649.0,0.053,,,,,,,2570.0,0.209
2021-01-30,65 and Older,10616.0,1.107,380.0,0.04,,,,,,,10616.0,1.107
2021-01-31,12-17,9.0,0.002,3.0,0.001,,,,,,,9.0,0.002
2021-01-31,18-49,1311.0,0.052,409.0,0.016,,,,,,,1311.0,0.052
2021-01-31,50-64,768.0,0.063,353.0,0.029,,,,,,,768.0,0.063
2021-01-31,65 and Older,1588.0,0.166,455.0,0.047,,,,,,,1588.0,0.166
2021-02-01,12-17,39.0,0.009,2.0,0.0,,,,,,,39.0,0.009
2021-02-01,18-49,1441.0,0.057,1965.0,0.078,,,,,,,1441.0,0.057
2021-02-01,50-64,1117.0,0.091,1374.0,0.112,,,,,,,1117.0,0.091
2021-02-01,65 and Older,4056.0,0.423,962.0,0.1,,,,,,,4056.0,0.423
2021-02-02,12-17,25.0,0.006,9.0,0.002,,,,,,,25.0,0.006
2021-02-02,18-49,2857.0,0.113,6424.0,0.255,,,,,,,2857.0,0.113
2021-02-02,50-64,2012.0,0.164,3973.0,0.323,,,,,,,2012.0,0.164
2021-02-02,65 and Older,7170.0,0.747,2957.0,0.308,,,,,,,7170.0,0.747
2021-02-03,12-17,18.0,0.004,12.0,0.003,,,,,,,18.0,0.004
2021-02-03,18-49,4551.0,0.18,9411.0,0.373,,,,,,,4551.0,0.18
2021-02-03,50-64,3051.0,0.248,5564.0,0.453,,,,,,,3051.0,0.248
2021-02-03,65 and Older,10126.0,1.055,2685.0,0.28,,,,,,,10126.0,1.055
2021-02-04,12-17,14.0,0.003,12.0,0.003,,,,,,,14.0,0.003
2021-02-04,18-49,5054.0,0.2,7784.0,0.308,,,,,,,5054.0,0.2
2021-02-04,50-64,3941.0,0.321,4734.0,0.385,,,,,,,3941.0,0.321
2021-02-04,65 and Older,12745.0,1.328,2760.0,0.288,,,,,,,12745.0,1.328
2021-02-05,12-17,11.0,0.002,13.0,0.003,,,,,,,11.0,0.002
2021-02-05,18-49,5102.0,0.202,8379.0,0.332,,,,,,,5102.0,0.202
2021-02-05,50-64,3478.0,0.283,4956.0,0.404,,,,,,,3478.0,0.283
2021-02-05,65 and Older,11328.0,1.181,3603.0,0.376,,,,,,,11328.0,1.181
2021-02-06,12-17,11.0,0.002,5.0,0.001,,,,,,,11.0,0.002
2021-02-06,18-49,3294.0,0.131,2967.0,0.118,,,,,,,3294.0,0.131
2021-02-06,50-64,1960.0,0.16,1692.0,0.138,,,,,,,1960.0,0.16
2021-02-06,65 and Older,5748.0,0.599,1519.0,0.158,,,,,,,5748.0,0.599
2021-02-06,Unknown,,,8000.0,,,,,,,,,
2021-02-07,12-17,6.0,0.001,2.0,0.0,,,,,,,6.0,0.001
2021-02-07,18-49,1442.0,0.057,657.0,0.026,,,,,,,1442.0,0.057
2021-02-07,50-64,1040.0,0.085,408.0,0.033,,,,,,,1040.0,0.085
2021-02-07,65 and Older,3340.0,0.348,591.0,0.062,,,,,,,3340.0,0.348
2021-02-08,12-17,14.0,0.003,11.0,0.002,,,,,,,14.0,0.003
2021-02-08,18-49,3095.0,0.123,5831.0,0.231,,,,,,,3095.0,0.123
2021-02-08,50-64,2058.0,0.168,3388.0,0.276,,,,,,,2058.0,0.168
2021-02-08,65 and Older,7557.0,0.788,3284.0,0.342,,,,,,,7557.0,0.788
2021-02-09,12-17,10.0,0.002,11.0,0.002,,,,,,,10.0,0.002
2021-02-09,18-49,4006.0,0.159,5638.0,0.223,,,,,,,4006.0,0.159
2021-02-09,50-64,2644.0,0.215,3345.0,0.272,,,,,,,2644.0,0.215
2021-02-09,65 and Older,9706.0,1.012,4365.0,0.455,,,,,,,9706.0,1.012
2021-02-10,12-17,22.0,0.005,16.0,0.004,,,,,,,22.0,0.005
2021-02-10,18-49,4177.0,0.166,8975.0,0.356,,,,,,,4177.0,0.166
2021-02-10,50-64,3074.0,0.25,5223.0,0.425,,,,,,,3074.0,0.25
2021-02-10,65 and Older,11800.0,1.23,6496.0,0.677,,,,,,,11800.0,1.23
2021-02-11,12-17,23.0,0.005,10.0,0.002,,,,,,,23.0,0.005
2021-02-11,18-49,5684.0,0.225,7528.0,0.298,,,,,,,5684.0,0.225
2021-02-11,50-64,3955.0,0.322,4018.0,0.327,,,,,,,3955.0,0.322
2021-02-11,65 and Older,13060.0,1.361,5333.0,0.556,,,,,,,13060.0,1.361
2021-02-12,12-17,11.0,0.002,11.0,0.002,,,,,,,11.0,0.002
2021-02-12,18-49,5794.0,0.23,8424.0,0.334,,,,,,,5794.0,0.23
2021-02-12,50-64,4012.0,0.327,4713.0,0.384,,,,,,,4012.0,0.327
2021-02-12,65 and Older,10334.0,1.077,5961.0,0.621,,,,,,,10334.0,1.077
2021-02-13,12-17,18.0,0.004,7.0,0.002,,,,,,,18.0,0.004
2021-02-13,18-49,2782.0,0.11,2144.0,0.085,,,,,,,2782.0,0.11
2021-02-13,50-64,2001.0,0.163,1001.0,0.082,,,,,,,2001.0,0.163
2021-02-13,65 and Older,6453.0,0.673,2824.0,0.294,,,,,,,6453.0,0.673
2021-02-14,12-17,18.0,0.004,3.0,0.001,,,,,,,18.0,0.004
2021-02-14,18-49,2093.0,0.083,656.0,0.026,,,,,,,2093.0,0.083
2021-02-14,50-64,1375.0,0.112,431.0,0.035,,,,,,,1375.0,0.112
2021-02-14,65 and Older,3524.0,0.367,881.0,0.092,,,,,,,3524.0,0.367
2021-02-15,12-17,14.0,0.003,22.0,0.005,,,,,,,14.0,0.003
